LARS ERIK
LAURENTIU DANIEL
LINO ANTONIO
LIVIU GABRIEL
LOUTFI
LUCAS FERNANDO
LUIS AITOR
MAMOUR
MANUEL ABEL
MANUEL ALEXANDRE
MANUEL JACOBO
MARC ALEXANDER
MARCOS JOAQUIN
MARIAN ANDREI
MARIO RODOLFO
MARIO VALENTIN
MARIUS CORNEL
MARTIN VICENTE
MATIAS ARIEL
MATIAS EMANUEL
MIGUEL MARIO
MIHAI CLAUDIU
MOHAMED AHMED
MOHAMED AYMAN
MOUMEN
NARAYAN
NAYIB
NEAGU
NELSON RODRIGO
NICODEMUS
