ALEJANDRO AGUSTIN
ANDRES GUILLERMO
ANDRES MARTIN
ANGEL MOISES
ANGEL VALENTIN
ANTONIO AURELIO
ANTONIO CRUZ
BANGALLY
BILLY
BOGDAN GABRIEL
BREHIMA
CLODOMIRO
DARIO JESUS
DIADIE
DIEGO ARIEL
DJAMAL
EDUARDO SALVADOR
FREDERICO
GENADI
GERARDO FRANCISCO
GOCHA
HENRRY
HUA
HUGO EDUARDO
HUGO RICARDO
IKRAM
ILDELFONSO
IOAN COSMIN
IONUT ANDREI
ISIDORO MANUEL
