ROBERTO CARLO
RODRIGO ANGEL
RODRIGO ERNESTO
RODRIGO VICENTE
ROGER EDWARD
ROLLY
ROMAN DANIEL
ROMAN MARIA
ROMUL
RONALD ANTONIO
RONGHUA
ROQUE MARIO
ROY DAVID
RUBEN ANDRE
RUBEN ISRAEL
RUBEN MOISES
RUI CARLOS
RUPINDER
SALVADOR AGUSTIN
SAMUEL RAFAEL
SANSON
SANTIAGO BENITO
SANTOS VICENTE
SATURDAY
SAYAH
SECUNDINO MANUEL
SEFERINO
SEGUNDO ERNESTO
SEGUNDO JAIME
SEGUNDO VICTOR
