GUSTAVO DARIO
HALID
HAMA
HANS OTTO
HARBHAJAN
HECTOR ADOLFO
HECTOR WILLIAM
HECTOR XAVIER
HENRIQUE JOSE
HERNAN DANIEL
HIGINIO JESUS
HONORIO JOSE
HORACIO LUIS
HUGO ANGEL
HUGO JUAN
HUGO RAMIRO
HUMBERTO ENRIQUE
IBRAIN
IGNACIO PASCUAL
ILIE COSMIN
INOCENCIO JOSE
ION DUMITRU
ION NICOLAE
ION STEFAN
IONEL LUCIAN
IONUT AUREL
IONUT DRAGOS
IOSUA
ISAMAEL
ISHFAQ
