DANIEL GERMAN
DANNY FERNANDO
DARIO FRANCISCO
DAUD
DAVID IONUT
DAVID PASCUAL
DAVID STANLEY
DAVID STEPHEN
DAVID WALTER
DEXTER
DIALLA
DIMITROV
DIOSNEL
DOMINGO AGUSTIN
DOMINGO ALEXIS
DOMINGO SALVADOR
DOVYDAS
DUMITRU CATALIN
DUMITRU IOAN
DUSTIN
EDUARD JOSEP
EDUARDO GUSTAVO
EDUVIGIS
EDWARD ALEXANDER
ELADIO JAVIER
ELIMANE
ELIOS
ELMO
EMILIO JULIO
EMILIO RAUL
