JABIR
JOAQUIN PABLO
JOHN CHRISTOPHER
JOSE GABINO
JUAN BENJAMIN
JUAN EVARISTO
JUAN GASPAR
JUAN GUALBERTO
JULIO GABRIEL
KNUT
LORENZO FRANCISCO
LUCIDIO
MACEDON
MANUEL HUMBERTO
MARCOS VICENTE
MARIUS BOGDAN
MARIUS CIPRIAN
MARTIN CARLOS
MAXIMO MANUEL
MIGUEL ALEXANDER
MIHAI IOAN
NARCISO JOSE
OSCAR ADRIAN
OSCAR PEDRO
PAULO MIGUEL
PEDRO ELOY
RAUL ALEXANDRU
ROBERT MIHAI
SANTIAGO JOAQUIN
SEGUNDO ANTONIO
